,name,price,comment,data_person,likes,dislikes
0,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",با سلام موبایل بسیار خوش دست و سبکی است راحت در جیب جا می شود و امکانات نسبتا کاملی را ارائه می دهد تنها نقطه ضعف دور بین نسبت ضعیف آن نسبت به سایر موبایلهای موجود می باشدکه البته اگر مثل من به دنبال عکاسی حرفه ای ( حرفه ای ) نباید دوربین ان خوب است.,"شهرام صلجی زاده
در تاریخ ۲۰ بهمن ۱۳۹۸",۱,۰
1,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",گوشیه ی خوبیه,"کاربر دیجی‌کالا
در تاریخ ۱۸ بهمن ۱۳۹۸",۱,۱
2,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",من خودم a40 دارم تنها ضعفش باطریشه سریع خالی میکنه ولی واقعا خوش دسته ، فقطو فقط مشکلش باطریشه اونم چون فست شارژ داره زود شارژ میشه ولی مهم نگهداشتنه باطریه که خالی میکنه زود,"کاربر دیجی‌کالا
در تاریخ ۱۸ بهمن ۱۳۹۸",۱,۰
3,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",گوشی خوبیه ولی نسبت به قیمتی که داره سی پیوی خیلی پایین,"کاربر دیجی‌کالا
در تاریخ ۱۸ بهمن ۱۳۹۸",۱,۰
4,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",اونایی که نوشتن از a30 بهتره یکم دقیق چک کنن مشخصاتو ظرفیت باطریش از a30 کمتره که یه ضعفشه و دوم صفحه نمایششم کوچیکتره از لحاظ سخت افزاری شباهتش با آ۳۰ فکر کنم یکیه تو اون تخصصی ندارم نظر نمیدم ولی فکر نمیکنم با نصب اپلیکیشن های مختلف و بالا رفتن حافظش در حد a30 سریع بمونه,"امیرحسین خواجوی کیا
در تاریخ ۱۸ بهمن ۱۳۹۸",۱,۳
5,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",یه چیز کاملا معمولی,"محمد علی ناظم زادگان
خریدار
در تاریخ ۱۷ بهمن ۱۳۹۸",۲,۲
6,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰","سلام دوستان
شخصا از همون اول چندین ساله برند هوآوی داشتم که واقعا نسبت به قیمت،امکانات،سخت و نرم افزار به صرفه و خیلی خوب بود و برای اولین بار برای تنوع همین مدل سامسونگ رو با دانسته های که از قبل داشتم از بازار خریداری تقریبا ۴ ماه میشه
واقعا برای اولین تجربه حرف نداره مخصوصا صفحه نمایش پویا و متعادل و رابط کاربردی زیبا،من رنگ آبی رو خریدم از لحاظ اندازه دقیقا همینو میخواستم اما هوآوی ازلحاظ کیفیت صفحه نمایش ضعیف عمل میکنه
درخریدش شک نکنید همه چیش عالیه
دوربین سلفی خیلی‌باکیفیته مخصوصا حالت پرتره هم سلفی هم پشت با هوش مصنوعی هم که میترکونه حالت پرتره تقریبا نزدیک به مدل های بالا ایفون به تصویرمیکشه که کاملا راضی میکنه امیدوارم که نوشته هام مفید باشه","آرش رخشانی
در تاریخ ۱۶ بهمن ۱۳۹۸",۳,۱
7,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",من یه دو ماهی میشه دارمش قبلش ایفون داشتم قبل ایفون جی سون پریم سامسونگ یه سریم هواوی دستم بود وای نه بین اون اندرویدیا این عالیتره خیلی انتخاب خوبیه برای اونایی ک گوششیون همیشه دستشونه همه جا ... گوشی بزرگ نمیشه همه جا همیشه تو دست باشه کار کنی,"پریناز کلانتر
در تاریخ ۱۶ بهمن ۱۳۹۸",۶,۳
8,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",سلام خدمت دوستان برای کسانی که میخوان این گوشی را تهیه کنند و استفاده کنند این گوشی از لحاظ ظاهری و زیبایی خیلی گوشی خوش دست و زیبایی هستش اما در کارکرد به نسبت رقبای دیگه خیلی کند کار میکند باتری آنچنان قوی ندارد,"hamid taghikhani
در تاریخ ۱۴ بهمن ۱۳۹۸",۶,۵
9,گوشی موبایل سامسونگ مدل Galaxy A40 SM-A405FN/DS دو سیم‌کارت ظرفیت 64 گیگابایت,"۲,۷۹۹,۰۰۰",خوبه یک هفته هست دارمش به قیمتش می ارزه,"علیرضا چشمی
خریدار
در تاریخ ۱۳ بهمن ۱۳۹۸",۳,۳
