,name,price,comment,data_person,likes,dislikes
0,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",واقعا گوشی خوبیه،از نظر قیمت و خیلی چیزها ازاپل و سامسونگ بهتره,"فرزانه لک عیان
در تاریخ ۲۱ بهمن ۱۳۹۸",۱۷,۴
1,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",با خرید ای موبایل از شرکت mi موبایل های قبلی سو تفاهم بود,"مهدی دلشاد
خریدار
در تاریخ ۲۱ بهمن ۱۳۹۸",۱۲,۲
2,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",همیشه سامسونگ داشتم و اولش از شیامی بدم میومد و فکر میکردم گوشی های ضعیفی تولید میکنند. ولی با توجه به نظر دوستان اینو سفارش دادم و اصلا پشیمون نشدم. همه چیزش عالیه و با توجه به هزینه ای که میکنید امکانات زیادی دریافت میکنید. مشکل برجستگی دوربین هم با انداختن گارد برطرف میشه. ولی بهتره که از محافظ دوربین استفاده کنید.,"نازنین دیواندری
خریدار
در تاریخ ۲۱ بهمن ۱۳۹۸",۱۱,۱
3,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",گوشی فوق العاده ای هستش نسبت به قیمت ارزش خریدن داره,"سجاد شاهی
در تاریخ ۲۱ بهمن ۱۳۹۸",۴,۱
4,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",عالی عالی حرف نداره,"جواد فدوی
در تاریخ ۲۱ بهمن ۱۳۹۸",۵,۲
5,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",راحت میشه این گوشی رو 2400000 از بیرون تهیه کرد..دیجی کالا بخاطر قیمت خوبش پیشرفت کرد که به سرعت داره بخاطر بالا بودن قیمتاش از دست میره,"سعید کسانی
در تاریخ ۲۱ بهمن ۱۳۹۸",۲۸,۷
6,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰","با سلام
شرکتی که گاراتتی محصولات شیامی را بر عهده گرفته بایستی متوازن با فروش گرشی ، خدمات خود را گسترش دهد","purya khakpur
خریدار
در تاریخ ۲۱ بهمن ۱۳۹۸",۲,۱
7,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",خیلی خوبه . از حد انتظار فراتر بود...,"جمال ا
خریدار
در تاریخ ۲۱ بهمن ۱۳۹۸",۳,۱
8,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",عالیی,"کاربر دیجی‌کالا
در تاریخ ۲۰ بهمن ۱۳۹۸",۵,۲
9,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",کیفیت دوربین 48 نیست،، کیفیت دوربینش پایینه،، برعکس نظراتی که میگن دوربین شیایومی خوبه,"کاربر دیجی‌کالا
در تاریخ ۲۰ بهمن ۱۳۹۸",۸,۱۴
10,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰","سلام
من این گوشی رو یک ماه دارم
دوربین گوشی تو شب عالیه عقب و جلو نداره
برای اجرای بازی های سینگین کاملا روانه هیچ لگ نداره
من کال اف دیوتی و پابجی اصلی و چندتا بازی دیگه رو دارم مشکلی ندیدم
فقط نور صفحس یکم کمه زیر نور افتاب
هندزفری هم تو جعبش نیس باید جدا خریداری بشه
باطریشم خوب شارژ نگه میداره و سرعت شارژش بالاس تا ۱۸وات، ولی داخل جعبه شارژرش ۱۰واتی هست ک تو ۹۰ دقیقه کامل گوشی شارژ میشه باهاش
اسپیکرشم صداش زیاده کیفیتشم خوبه","alireza ghaderi
در تاریخ ۲۰ بهمن ۱۳۹۸",۲,۲
11,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",توی این بازه قیمتی واقعا نمیشه بهتر از این پیدا کرد,"علی میرزاجانزاده
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۴,۲
12,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰","سلام دوستان بنده خودم هواوی نوا 3i دارم یکی از دوستام دیروز شیائومی نوت 8 آک گرفته بود. مقایسه کردم، کیفیت ساخت نوت8 خوب بود با نوا یکیه.
دوربین به شدت کیفیت پائینتر نسبت به نوا که خوش هم تعجب کرد نوا که 16 مگاپیکسل از نوت 8 با دوربین 48 عکسها به شدت با کیفیتر بود مشخصه که دوربین 48 کاملا دروغه،
سلفی هم نوا که 24 مگاپیکسله فوق العاده بهتر از نوت 8 بود.
کیفیت صفحه نوا هم خیلی بهتر بود.
وزن نوت 8 بیشتر از نوا بود،
فقط چیزی که من نسبت به نوا دیدم که بهتر بود فست شارژش بودنش
نتیجه :
اگر باطری قویتر نیاز ندارید شیائومی نوت8 واقعا خیلی پائنتر از نوا است
حتی من آنر 8x هم داریم خونه واقعا هواوی و آنر که تقریبا هم قیمت نوت8 است خیلی بالاترن
امیدوارم این تست مورد استفاده دوستان قرار بگیره
در ضمن این تست انصافا بدون تعصب انجام شده چون من این دو برند رو از سایر برندهها که فقط پول برند میگیرن بیشتر قبول دارم","آرش یوسفی
در تاریخ ۲۰ بهمن ۱۳۹۸",۴,۸
13,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",گوشیه خوبیه،یکی خریدم 2699 ،منتظرم بشه 2649، یکی دیگه بگیرم,"محمد حبیبی
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۳,۰
14,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",گوشی بسیار خوبی هست,"حسین احمدی پور
در تاریخ ۲۰ بهمن ۱۳۹۸",۲,۲
15,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",کیفیت عالی,"Mohamad reza Zare
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۳,۰
16,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",عالی,"حسن نیازی
در تاریخ ۲۰ بهمن ۱۳۹۸",۳,۰
17,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",امروز قراره به دستم برسه و هنوز استفاده شخصی نداشتم با توجه به امکانات و دوربین و سایر مزایاش امیدوارم گوشی خوبی باشه,"محمد بهداروندی
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۱,۳
18,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",گوشی میان رده ی خیلی خوبیه .اگه بخوای با این قیمت بری مارک های دیگه حتی هواوی بگیری چیز به این خوبی گیرت نمیاد .دوربینش هم که خیلی خوب و حرفه ای هست.فقط یه کمی قطوره (کلفت) که البته مشکلی نداره.,"هادی علی حسینی
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۶,۱
19,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",نوت 7 بهتره,"مهدی عزیزنژاد
در تاریخ ۲۰ بهمن ۱۳۹۸",۰,۳
20,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰","بعد از ۳ سال استفاده از گوشی های مختلف xiaomi
توصیه می کنم پول سامسونگ و اپل رو ندارید xiaomi بخرید","محمد رمضانی
خریدار
در تاریخ ۲۰ بهمن ۱۳۹۸",۱,۰
21,گوشی موبایل شیائومی مدل Redmi Note 8 M1908C3JG دو سیم‌ کارت ظرفیت 64 گیگابایت,"۲,۹۰۰,۰۰۰",این برند رو به کسانی که قبلا پرچمدار استفاده میکردند به هیچ وجه توصیه نمیکنم,"ahmad parirokh
در تاریخ ۲۰ بهمن ۱۳۹۸",۲,۵
